code,title,judge_date
0,不明,1996/3/1
98,第12回全国観葉植物共進会,1996/6/19
99,第18回全国鉢花共進会,1996/11/27
100,第13回全国観葉植物共進会,1997/6/18
101,第19回全国鉢花共進会,1997/11/26
102,1998年ポットプランツコンテスト,1998/4/8
103,第14回全国観葉植物共進会,1998/6/17
104,第20回全国鉢花共進会,1998/11/25
105,1999年ポットプランツコンテスト・春の部,1999/4/7
106,第15回全国観葉植物共進会,1999/6/23
107,1999年ポットプランツコンテスト・秋の部,1999/10/27
108,第21回全国鉢花共進会,1999/12/1
109,2000年ポットプランツコンテスト・春の部,2000/4/5
110,第16回全国観葉植物共進会,2000/6/7
111,2000年ポットプランツコンテスト・秋の部,2000/10/25
112,第22回全国鉢花共進会,2000/11/29
113,2001年ポットプランツコンテスト・春の部,2001/4/4
114,第17回全国観葉植物共進会,2001/6/6
115,2001年ポットプランツコンテスト・秋の部,2001/10/24
116,第23回全国鉢花共進会,2001/11/28
118,2002年ポットプランツコンテスト・春の部,2002/4/3
119,第18回全国観葉植物共進会,2002/6/5
120,2002年ポットプランツコンテスト・秋の部,2002/10/23
121,第24回全国鉢花共進会,2002/11/27
122,2003年ポットプランツコンテスト・春の部,2003/4/2
123,東海鉢物品評会2003 観葉植物の部,2003/6/4
124,鉢物品評会2003 観葉植物の部,2003/6/4
125,2003年ポットプランツコンテスト・秋の部,2003/10/22
126,東海鉢物品評会2003 鉢花・蘭の部,2003/11/26
127,鉢物品評会2003 鉢花・蘭の部,2003/11/26
128,2004年ポットプランツコンテスト・春の部,2004/4/7
129,東海鉢物品評会2004 観葉植物の部,2004/6/9
130,鉢物品評会2004 観葉植物の部,2004/6/9
131,2004年ポットプランツコンテスト・秋の部,2004/10/20
132,東海鉢物品評会2004 鉢花・蘭の部,2004/12/1
133,鉢物品評会2004 鉢花・蘭の部,2004/12/1
134,2005年ポットプランツコンテスト・春の部,2005/4/6
135,東海鉢物品評会2005 観葉植物の部,2005/6/8
136,鉢物品評会2005 観葉植物の部,2005/6/8
137,2005年ポットプランツコンテスト・秋の部,2005/10/26
138,東海鉢物品評会2005 鉢花・蘭の部,2005/11/30
139,鉢物品評会2005 鉢花・蘭の部,2005/11/30
140,2006年ポットプランツコンテスト・春の部,2006/4/5
141,東海鉢物品評会2006 観葉植物の部,2006/6/7
142,鉢物品評会2006 観葉植物の部,2006/6/7
143,2006年ポットプランツコンテスト・秋の部,2006/10/25
144,東海鉢物品評会2006 鉢花・蘭の部,2006/11/29
145,鉢物品評会2006 鉢花・蘭の部,2006/11/29
146,2007年ポットプランツコンテスト・春の部,2007/4/4
147,東海鉢物品評会2007 観葉植物の部,2007/6/6
148,鉢物品評会2007 観葉植物の部,2007/6/6
149,2007年ポットプランツコンテスト・秋の部,2007/10/31
150,東海鉢物品評会2007 鉢花・蘭の部,2007/11/28
151,鉢物品評会2007 鉢花・蘭の部,2007/11/28
152,東海鉢物品評会2008 観葉植物の部,2008/4/2
153,鉢物品評会2008 観葉植物の部,2008/4/2
154,2008年ポットプランツコンテスト・春の部,2008/4/9
155,2008年ポットプランツコンテスト・秋の部,2008/10/22
156,東海鉢物品評会2008 鉢花・蘭の部,2008/11/26
157,鉢物品評会2008 鉢花・蘭の部,2008/11/26
158,東海鉢物品評会2009 観葉植物の部,2009/4/8
159,鉢物品評会2009 観葉植物の部,2009/4/8
160,2009年ポットプランツコンテスト・春の部,2009/4/15
161,2009年ポットプランツコンテスト・秋の部,2009/10/21
162,東海鉢物品評会2009 鉢花・蘭の部,2009/11/25
163,鉢物品評会2009 鉢花・蘭の部,2009/11/25
164,東海鉢物品評会2010 観葉植物の部,2010/4/7
165,鉢物品評会2010 観葉植物の部,2010/4/7
166,2010年ポットプランツコンテスト・春の部,2010/4/14
167,2010年ポットプランツコンテスト・秋の部,2010/10/20
168,東海鉢物品評会2010 鉢花・蘭の部,2010/11/24
169,鉢物品評会2010 鉢花・蘭の部,2010/11/24
170,東海鉢物品評会2011 観葉植物の部,2011/4/6
171,鉢物品評会2011 観葉植物の部,2011/4/6
172,2011年ポットプランツコンテスト・春の部,2011/4/13
173,2011年ポットプランツコンテスト・秋の部,2011/10/19
174,東海鉢物品評会2011 鉢花・蘭の部,2011/11/23
175,鉢物品評会2011 鉢花・蘭の部,2011/11/23
176,2012年ポットプランツコンテスト・春の部,2012/4/4
177,東海鉢物品評会2012 観葉植物の部,2012/4/4
178,鉢物品評会2012 観葉植物の部,2012/4/4
179,2012年ポットプランツコンテスト・秋の部,2012/11/21
180,東海鉢物品評会2012 鉢花・蘭の部,2012/11/21
181,鉢物品評会2012 鉢花・蘭の部,2012/11/21
182,2013年ポットプランツコンテスト・春の部,2013/4/10
183,東海鉢物品評会2013 観葉植物の部,2013/4/10
184,鉢物品評会2013 観葉植物の部,2013/4/10
185,2013年ポットプランツコンテスト・秋の部,2013/11/20
186,東海鉢物品評会2013 鉢花・蘭の部,2013/11/20
187,鉢物品評会2013 鉢花・蘭の部,2013/11/20
188,2014年ポットプランツコンテスト・春の部,2014/4/9
189,東海鉢物品評会2014 観葉植物の部,2014/4/9
190,鉢物品評会2014 観葉植物の部,2014/4/9
191,2014年ポットプランツコンテスト・秋の部,2014/11/19
192,東海鉢物品評会2014 鉢花・蘭の部,2014/11/19
193,鉢物品評会2014 鉢花・蘭の部,2014/11/19
194,2015年ポットプランツコンテスト・春の部,2015/4/8
195,東海鉢物品評会2015 観葉植物の部,2015/4/8
196,鉢物品評会2015 観葉植物の部,2015/4/8
197,2015年ポットプランツコンテスト・秋の部,2015/11/18
198,東海鉢物品評会2015 鉢花・蘭の部,2015/11/18
199,鉢物品評会2015 鉢花・蘭の部,2015/11/18
200,2016年ポットプランツコンテスト・春の部,2016/4/6
201,東海鉢物品評会2016 観葉植物の部,2016/4/6
202,鉢物品評会2016 観葉植物の部,2016/4/6
203,2016年ポットプランツコンテスト・秋の部,2016/11/17
204,東海鉢物品評会2016 鉢花・蘭の部,2016/11/17
205,鉢物品評会2016 鉢花・蘭の部,2016/11/17
206,2017年ポットプランツコンテスト・春の部,2017/4/5
207,東海鉢物品評会2017 観葉植物の部,2017/4/5
208,鉢物品評会2017 観葉植物の部,2017/4/5
209,2017年ポットプランツコンテスト・秋の部,2017/11/15
210,東海鉢物品評会2017 鉢花・蘭の部,2017/11/15
211,鉢物品評会2017 鉢花・蘭の部,2017/11/15
212,2018年ポットプランツコンテスト・春の部,2018/4/4
213,東海鉢物品評会2018 観葉植物の部,2018/4/4
214,鉢物品評会2018 観葉植物の部,2018/4/4
215,2018年ポットプランツコンテスト・秋の部,2018/11/21
216,東海鉢物品評会2018 鉢花・蘭の部,2018/11/21
217,鉢物品評会2018 鉢花・蘭の部,2018/11/21
218,2019年ポットプランツコンテスト・春の部,2019/4/3
219,東海鉢物品評会2019 観葉植物の部,2019/4/3
220,鉢物品評会2019 観葉植物の部,2019/4/3
221,2019年ポットプランツコンテスト・秋の部,2019/11/20
222,東海鉢物品評会2019 鉢花・蘭の部,2019/11/20
223,鉢物品評会2019 鉢花・蘭の部,2019/11/20
224,2020年ポットプランツコンテスト・春の部,2020/4/8
225,東海鉢物品評会2020 観葉植物の部,2020/4/8
226,鉢物品評会2020 観葉植物の部,2020/4/8
227,2020年ポットプランツコンテスト・秋の部,2020/11/18
228,東海鉢物品評会2020 鉢花・蘭の部,2020/11/18
229,鉢物品評会2020 鉢花・蘭の部,2020/11/18
